,y_true,train?,human_count_0,human_count_1,human_count_2,human_count_3,human_count_4,human_count_5,human_count_6,human_count_7,human_count_8,human_count_9,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,mean_rt,median_rt,std_rt,Median Reaction Time (s),actual,pred
0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999722242355348,3.4251511351612862e-06,1.6689660697011277e-05,4.802756734534341e-07,1.7390958646501529e-06,3.2833392538123013e-07,1.7723110659062507e-06,6.551937872245617e-07,1.7491024664195716e-06,7.94652692093223e-07,1526.08,1323.5,849.2572706999539,1323.5,0,0
1,2.0,1.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.392289391333179e-06,3.0739417979930295e-06,0.9993372559547424,3.3515207178425044e-06,6.641037543886341e-06,0.0005614074179902673,7.406836812151596e-05,9.499547559244093e-06,6.346510872390354e-07,2.5972919956984697e-06,1763.333333333333,1486.0,705.9415745418785,1486.0,2,2
2,2.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089053623421933e-06,1.109917775465874e-06,0.999975085258484,2.2923884444026044e-06,4.504805474425666e-06,8.852588848640154e-07,1.123354013543576e-05,1.986039706025622e-06,7.950252012278725e-08,7.199905098786984e-07,1513.8039215686276,1230.0,739.6968303192286,1230.0,2,2
3,2.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.981319837796036e-05,4.588910542224767e-06,0.9998801946640016,2.3867436539148912e-05,1.3250118172436487e-05,2.6319761673221365e-05,1.1220162377867382e-05,9.246042282029519e-06,1.0076208127429707e-05,1.4635029401688369e-06,15845.53846153846,1508.0,102673.49738521727,1508.0,2,2
4,1.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.493373515084386e-05,0.9073765277862548,0.0013861790066584945,0.0010576358763501046,0.000687512569129467,0.0008294609724543989,1.5238279956975022e-05,0.00011271339462837204,8.705435902811587e-06,0.08849115669727325,2350.7,1744.5,1661.7250963737556,1744.5,1,1
5,4.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1.0,1.0,0.0,2.451477257636725e-06,4.810413884115405e-06,1.7555558997628395e-06,7.481960437871748e-07,0.9999843835830688,1.4893226989443063e-06,9.772593330126258e-07,2.4398082132393037e-06,6.455700258811703e-07,2.456633865222102e-07,1498.9,1333.0,654.3467298436991,1333.0,4,4
6,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.712953630634729e-07,1.952592810994247e-06,4.249905487085925e-06,2.3500756469729822e-06,1.8185245380664128e-06,1.0851545084733514e-06,0.9999850988388062,1.1051450883314828e-06,8.359897378795722e-07,1.133273940467916e-06,1528.529411764706,1393.0,616.9362155990252,1393.0,6,6
7,3.0,1.0,0.0,0.0,0.0,48.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3075330571155064e-05,4.92440267407801e-06,0.000105664279544726,0.99898499250412,2.742904689512216e-05,2.7270983991911635e-05,0.0007963231182657182,3.23968670272734e-05,3.5758816920861136e-06,4.36089840150089e-06,1942.02,1685.0,952.1159355319487,1685.0,3,3
8,5.0,1.0,0.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,5.472615157486871e-05,2.9012388040428053e-05,7.2778125286276935e-06,1.7286922229686752e-05,0.0005203064065426588,0.9988711476325988,0.0002775618340820074,0.00021919999562669543,1.0558835583651673e-06,2.3838247216190207e-06,1765.0943396226417,1508.0,769.2419411380307,1508.0,5,5
9,5.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,1.212196730193682e-05,1.1352548199283774e-06,4.738491043099202e-06,6.716461484757019e-06,3.9729820855427525e-06,0.9995419979095459,1.2161040103819687e-06,2.096740536217112e-05,0.00039721850771456957,9.960177521861624e-06,1931.3269230769226,1634.5,756.6367201767032,1634.5,5,5
10,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,3.1167724955594174e-05,1.0579051377135327e-05,0.00022343767341226342,5.2491759561235085e-06,6.305710121523589e-05,2.187200698244851e-05,0.00013029573892708868,0.9994877576828004,2.3059925297275186e-05,3.5660045796248596e-06,1616.32,1288.0,1057.4193545744145,1288.0,7,7
11,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,2.402750851615565e-07,7.620064025104511e-06,1.906372659732369e-07,1.603441575070974e-07,9.077157869796794e-08,1.153960511146579e-06,1.4768588698643725e-06,1.3497176496457541e-06,0.9999870061874392,6.894472335261526e-07,1749.7254901960785,1534.0,711.9600291710589,1534.0,8,8
